time,open,high,low,close,Plot,Plot,Plot,Plot
2024-01-31,61.44,62.26902,60.7,61.527,NaN,NaN,NaN,NaN
2024-02-01,62.1,63.191,61.65,63.027,NaN,NaN,NaN,NaN
2024-02-02,63.974,66.6,63.69,66.16,NaN,NaN,NaN,NaN
2024-02-05,68.225,69.497,67.205,69.332,NaN,NaN,NaN,NaN
2024-02-06,69.63,69.75399,66.3,68.223,NaN,NaN,NaN,NaN
2024-02-07,68.319,70.22,67.6,70.099,NaN,NaN,NaN,NaN
2024-02-08,70.074,70.794,69.455,69.641,NaN,NaN,NaN,NaN
2024-02-09,70.533,72.185,70.212,72.133,NaN,NaN,NaN,NaN
2024-02-12,72.6,74.611,71.25,72.248,NaN,NaN,NaN,NaN
2024-02-13,70.4,73.45,69.62,72.128,NaN,NaN,NaN,NaN
2024-02-14,73.202,74.236,71.938,73.9,NaN,NaN,NaN,NaN
2024-02-15,73.869,73.975,72.4,72.658,NaN,NaN,NaN,NaN
2024-02-16,74.1,74.402,72.501,72.613,NaN,NaN,NaN,NaN
2024-02-20,71.947,71.956,67.734,69.452,NaN,NaN,NaN,NaN
2024-02-21,68.006,68.888,66.248,67.472,NaN,NaN,NaN,NaN
2024-02-22,75.025,78.575,74.22,78.538,NaN,NaN,NaN,NaN
2024-02-23,80.79,82.394,77.57,78.817,NaN,NaN,NaN,NaN
2024-02-26,79.7,80.64599,78.505,79.092,NaN,NaN,NaN,NaN
2024-02-27,79.381,79.48,77.162,78.701,NaN,NaN,NaN,NaN
2024-02-28,77.62,78.933,77.125,77.663,NaN,NaN,NaN,NaN
2024-02-29,79.094,79.99,78.35,79.112,NaN,NaN,NaN,NaN
2024-03-01,80,82.3,79.43503,82.279,NaN,NaN,NaN,NaN
2024-03-04,84.13,87.695,83.719,85.237,NaN,NaN,NaN,NaN
2024-03-05,85.27,86.097,83.41701,85.964,NaN,NaN,NaN,NaN
2024-03-06,88.022,89.724,87.03001,88.7,NaN,NaN,NaN,NaN
2024-03-07,90.158,92.767,89.60201,92.669,NaN,NaN,NaN,NaN
2024-03-08,95.1379,97.4,86.506,87.528,NaN,NaN,NaN,NaN
2024-03-11,86.429,88.797,84.166,85.774,NaN,NaN,NaN,NaN
2024-03-12,88.049,91.96,86.1501,91.913,NaN,NaN,NaN,NaN
2024-03-13,91.055,91.504,88.435,90.888,NaN,NaN,NaN,NaN
2024-03-14,89.577,90.646,86.6,87.944,NaN,NaN,NaN,NaN
2024-03-15,86.93,89.546,86.257,87.8365,NaN,NaN,NaN,NaN
2024-03-18,90.388,92.405,87.085,88.455,NaN,NaN,NaN,NaN
2024-03-19,86.7,90.544,85.01,89.398,NaN,NaN,NaN,NaN
2024-03-20,89.797,90.41,88.223,90.372,NaN,NaN,NaN,NaN
2024-03-21,92.3,92.648,90.405,91.435,NaN,NaN,NaN,NaN
2024-03-22,91.141,94.77799,90.83401,94.289,NaN,NaN,NaN,NaN
2024-03-25,93.941,96.76599,93.51,95.002,NaN,NaN,NaN,NaN
2024-03-26,95.851,96.375,92.502,92.561,NaN,NaN,NaN,NaN
2024-03-27,93.112,93.24,89.123,90.25,NaN,NaN,NaN,NaN
2024-03-28,90,91.3,89.193,90.356,NaN,NaN,NaN,NaN
2024-04-01,90.299,92.225,89.204,90.363,NaN,NaN,NaN,NaN
