university,coord,inception,universityLabel,countryLabel
http://www.wikidata.org/entity/Q56803,Point(36.317 50.019),1804-01-01T00:00:00Z,H.S. Skovoroda Kharkiv National Pedagogical University,Ukraine
http://www.wikidata.org/entity/Q56826,Point(36.24347 50.00597),1930-01-01T00:00:00Z,Kharkiv National Automobile and Highway University,Ukraine
http://www.wikidata.org/entity/Q56828,Point(32.015144 46.971645),1996-01-01T00:00:00Z,Petro Mohyla Black Sea National University,Ukraine
http://www.wikidata.org/entity/Q56832,Point(32.6375 46.668611111),1959-01-01T00:00:00Z,Kherson National Technical University,Ukraine
http://www.wikidata.org/entity/Q56860,Point(25.26244444 54.69641667),1935-01-01T00:00:00Z,Lithuanian University of Educational Sciences,Lithuania
http://www.wikidata.org/entity/Q60845,Point(75.895 10.883),2012-01-01T00:00:00Z,Thunchath Ezhuthachan Malayalam University,India
http://www.wikidata.org/entity/Q61563,Point(49.844444444 40.377222222),1920-01-01T00:00:00Z,Baku Academy of Music,Azerbaijan
http://www.wikidata.org/entity/Q65043,Point(3.953333333 50.451666666),1920-07-07T00:00:00Z,Faculté polytechnique de Mons,Belgium
http://www.wikidata.org/entity/Q65379,Point(-80.425 37.225),1872-01-01T00:00:00Z,Virginia Tech,United States
http://www.wikidata.org/entity/Q75419,Point(99.53193784 18.25836601),1988-01-01T00:00:00Z,Nation University,Thailand
http://www.wikidata.org/entity/Q75478,Point(-73.9865 40.6944),1854-01-01T00:00:00Z,New York University Tandon School of Engineering,United States
http://www.wikidata.org/entity/Q75639,Point(125.579093 -8.555503),1965-05-20T00:00:00Z,National University of East Timor,Timor-Leste
http://www.wikidata.org/entity/Q82267,Point(120.428 36.072),1985-01-01T00:00:00Z,Qingdao University,People's Republic of China
http://www.wikidata.org/entity/Q85300,Point(30.73095 46.48764),1865-05-13T00:00:00Z,Odesa University,Ukraine
http://www.wikidata.org/entity/Q85449,Point(30.460833 50.449722),1898-01-01T00:00:00Z,Igor Sikorsky Kyiv Polytechnic Institute,Ukraine
http://www.wikidata.org/entity/Q93435,Point(25.9322 48.2914),1944-01-01T00:00:00Z,Bukovinian State Medical University,Ukraine
http://www.wikidata.org/entity/Q93662,Point(-78.4813 42.0781),1858-01-01T00:00:00Z,St. Bonaventure University,United States
